"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"R-HSA-9707564","R-HSA-9707564","Cytoprotection by HMOX1",24,0.564633675988508,1.73553248075772,0.00642832564642703,0.111084602938867,0.111084602938867,2854,"tags=67%, list=27%, signal=49%","HBB/FABP1/COX8A/COX6A1/COX5B/CYCS/NFE2L2/COX7C/RXRA/COX6C/MAFK/NLRP3/COX7A2/TBL1XR1/NCOA2/COX7A2L",0.407017918923954
"R-HSA-2426168","R-HSA-2426168","Activation of gene expression by SREBF (SREBP)",28,0.514026931148524,1.70578006468727,0.00633708829317318,0.111084602938867,0.111084602938867,3653,"tags=64%, list=34%, signal=42%","FDFT1/ELOVL6/DHCR7/HMGCS1/CYP51A1/NFYA/HMGCR/RXRA/IDI1/TBL1XR1/NCOA2/TM7SF2/MTF1/NFYB/PMVK/FDPS/ACACB/TGS1",0.407017918923954
"R-HSA-112316","R-HSA-112316","Neuronal System",218,-0.383532200634029,-1.44514019806959,0.00639485382597843,0.111084602938867,0.111084602938867,2034,"tags=31%, list=19%, signal=26%","DBNL/GNG11/RIMS1/LRRTM2/ADCY6/KCNMB4/PPFIA4/GRIK4/KCNQ3/TUBA1B/ADCY3/KCNC4/FLOT1/SLC18A3/CACNA2D1/SLC6A12/ACTN2/KIF17/SLC6A11/PRKAR2B/GRIK3/KCNK2/KCNF1/CAMK4/GRIN1/CHRNA1/SYT10/GNAT3/GABBR2/ADCY5/APBA1/GRIP2/SLC18A2/ADCY4/GNG3/SLC6A13/GLRB/KCNN3/KCNJ8/NBEA/GNB4/GRIA1/KCNH3/GRIN2B/SLC22A1/SYT9/SYT1/DLG2/NRXN3/BCHE/NRXN1/SLC5A7/SLC6A1/KCNH1/SYT2/GNB3/GRIA4/KCNJ10/TUBB2B/LRRTM1/KCNA2/SLC1A3/CAMK2A/KCNQ5/KCNS2/GLRA3/HTR3A/SLC1A2",0.407017918923954
"R-HSA-5205685","R-HSA-5205685","PINK1-PRKN Mediated Mitophagy",24,0.562816197638551,1.72994603977206,0.00676139660702935,0.114058321335245,0.114058321335245,3108,"tags=67%, list=29%, signal=47%","VDAC2/UBC/VDAC1/TBK1/ATG9A/MFN2/VDAC3/ATG5/RPS27A/PINK1/UBE2D2/TOMM6/TOMM5/TOMM20/ATG12/OPTN",0.407017918923954
"R-HSA-9909615","R-HSA-9909615","Regulation of PD-L1(CD274) Post-translational modification",61,0.421733641403039,1.61305714538816,0.00669284986542002,0.114058321335245,0.114058321335245,2745,"tags=46%, list=26%, signal=34%","CSNK2B/PRKAG1/RNF5/OSTC/SEL1L/OS9/UBC/STT3A/RPN1/PRKAB2/PSMA5/PSMC6/OST4/PSMD1/PSMD6/PSMA1/MIB2/PSMB7/DAD1/PSMA6/PSMC2/ERLIN1/COPS5/RPS27A/DERL1/YWHAG/STT3B/ERLIN2",0.407017918923954
"R-HSA-909733","R-HSA-909733","Interferon alpha/beta signaling",32,-0.574661418862288,-1.67970532802626,0.00714516180797531,0.118745346419528,0.118745346419528,91,"tags=9%, list=1%, signal=9%","HLA-C/HLA-E/HLA-B",0.407017918923954
"R-HSA-1234174","R-HSA-1234174","Cellular response to hypoxia",40,0.462173441147732,1.65699959379056,0.00720684530139691,0.118745346419528,0.118745346419528,2473,"tags=45%, list=23%, signal=35%","EGLN3/CITED2/CA9/EGLN1/UBC/HIGD1A/PSMA5/PSMC6/PSMD1/PSMD6/PSMA1/EPAS1/ELOC/PSMB7/PSMA6/PSMC2/RPS27A/UBE2D2",0.407017918923954
"R-HSA-9717207","R-HSA-9717207","Sensory perception of sweet, bitter, and umami (glutamate) taste",17,-0.65939892952075,-1.63418834147705,0.00746044979616882,0.121511004151393,0.121511004151393,1465,"tags=53%, list=14%, signal=46%","SCN2A/TAS2R14/GNAT3/SCN4B/TAS2R4/TAS2R5/TAS2R30/TRPM5/GNB3",0.407017918923954
"R-HSA-70268","R-HSA-70268","Pyruvate metabolism",32,0.512702679508489,1.750541456535,0.0081526343590183,0.129800931311561,0.129800931311561,2261,"tags=44%, list=21%, signal=35%","LDHA/LDHC/GLO1/UBC/MPC1/MAEA/VDAC1/GSTZ1/PC/PDK1/PDHX/PGAM5/SIRT4/RPS27A",0.380730400722792
"R-HSA-8949613","R-HSA-8949613","Cristae formation",18,0.590613054964836,1.70097651563948,0.00809615302362972,0.129800931311561,0.129800931311561,1734,"tags=44%, list=16%, signal=37%","ATP5MF/ATP5PB/ATP5F1B/ATP5MC2/ATP5MK/ATP5F1C/MICOS10/ATP5MC3",0.380730400722792
