"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"R-HSA-3781860","R-HSA-3781860","Diseases associated with N-glycosylation of proteins",15,0.569942500196381,1.59023564426691,0.0447897831193774,0.339396377968758,0.339396377968758,3130,"tags=67%, list=29%, signal=47%","NEU1/B4GALT1/ALG14/ALG8/ALG9/ALG3/ALG2/MOGS/RFT1/MGAT2",0.321775918075361
"R-HSA-9958810","R-HSA-9958810","SRC activates STAT3 in a quantitative manner, through Cadherin-11 (CDH11), RAC1 and gp130 (IL6ST)",16,0.545098937969462,1.56742775830743,0.0485437825322918,0.351438492063492,0.351438492063492,2261,"tags=50%, list=21%, signal=40%","CTSB/CTNND1/UBC/RAC1/CTNNA1/FARP2/CDC42/RPS27A",0.321775918075361
"R-HSA-399956","R-HSA-399956","CRMPs in Sema3A signaling",12,-0.654132698830322,-1.52963185533482,0.0481540930979133,0.351438492063492,0.351438492063492,878,"tags=33%, list=8%, signal=31%","DPYSL3/DPYSL4/SEMA3A/CRMP1",0.261663521711573
"R-HSA-5576892","R-HSA-5576892","Phase 0 - rapid depolarisation",20,-0.592125954875167,-1.52469747511551,0.0491071428571429,0.351438492063492,0.351438492063492,1582,"tags=40%, list=15%, signal=34%","SCN3B/SCN2A/SCN4B/FGF14/SCN7A/CACNA1C/SCN11A/CAMK2A",0.248911114434702
"R-HSA-9664565","R-HSA-9664565","Signaling by ERBB2 KD Mutants",17,0.50976419292027,1.4992545669668,0.0490176450830218,0.351438492063492,0.351438492063492,2211,"tags=59%, list=21%, signal=47%","EREG/HBEGF/NRG1/EGF/NRAS/ERBB3/EGFR/KRAS/ERBIN/SHC1",0.321775918075361
"R-HSA-6811438","R-HSA-6811438","Intra-Golgi traffic",25,0.449044934528614,1.47407728009477,0.0471750691365362,0.351438492063492,0.351438492063492,1510,"tags=36%, list=14%, signal=31%","YKT6/GOLIM4/COG6/BET1L/MAN2A1/COG3/CYTH3/COG5/ARF1",0.321775918075361
"R-HSA-379716","R-HSA-379716","Cytosolic tRNA aminoacylation",20,0.486067712091584,1.45178418047319,0.0476808002171212,0.351438492063492,0.351438492063492,349,"tags=10%, list=3%, signal=10%","CARS1/PPA1",0.321775918075361
"R-HSA-375165","R-HSA-375165","NCAM signaling for neurite out-growth",38,-0.477178122687902,-1.43039583577662,0.0489130434782609,0.351438492063492,0.351438492063492,1397,"tags=34%, list=13%, signal=30%","FGFR1/COL9A1/COL5A2/COL4A3/CACNA1C/CACNA1D/COL3A1/NCAM1/COL4A4/COL6A5/COL2A1/GFRA1/CNTN2",0.237793834423688
"R-HSA-5358346","R-HSA-5358346","Hedgehog ligand biogenesis",33,0.416980859672585,1.42557738748927,0.0484545837946656,0.351438492063492,0.351438492063492,2261,"tags=45%, list=21%, signal=36%","IHH/SEL1L/SHH/SYVN1/OS9/UBC/PSMA5/PSMC6/PSMD1/PSMD6/PSMA1/PSMB7/PSMA6/PSMC2/RPS27A",0.321775918075361
"R-HSA-9929491","R-HSA-9929491","SPOP-mediated proteasomal degradation of PD-L1(CD274)",28,0.422964202228652,1.40359164183466,0.0474158941817513,0.351438492063492,0.351438492063492,2261,"tags=39%, list=21%, signal=31%","CSNK2B/UBC/PSMA5/PSMC6/PSMD1/PSMD6/PSMA1/PSMB7/PSMA6/PSMC2/RPS27A",0.321775918075361
"R-HSA-375276","R-HSA-375276","Peptide ligand-binding receptors",96,-0.407802790118855,-1.3878472500471,0.0468557336621455,0.351438492063492,0.351438492063492,1908,"tags=32%, list=18%, signal=27%","CX3CR1/CCR6/AGT/CXCL10/GHRL/CXCL6/CXCL12/C3AR1/CXCL11/XCR1/AVPR1A/ACKR1/TAC3/CCR1/OXTR/XCL2/CCR9/RLN2/RXFP1/CXCL9/NPFFR1/GAL/PNOC/CCL19/CCL20/CCR4/CXCR4/KEL/CCL21/CXCR5/CXCL13",0.231126709673834
"R-HSA-391251","R-HSA-391251","Protein folding",55,0.353616351283682,1.34559242476733,0.0472839302784875,0.351438492063492,0.351438492063492,2149,"tags=36%, list=20%, signal=29%","CSNK2B/GNB2/FBXW5/GBA1/ACTB/GNG5/GNG12/TUBB2A/GNG10/GNAQ/FBXO6/FKBP9/TBCC/GNB1/RGS6/FBXL3/TCP1/FBXW4/TUBB4B/CCT4",0.321775918075361
"R-HSA-70263","R-HSA-70263","Gluconeogenesis",12,0.616751993370777,1.58947474488491,0.0494438691156856,0.352070163502143,0.352070163502143,2667,"tags=58%, list=25%, signal=44%","PCK2/PGAM1/TPI1/PC/GAPDH/SLC37A2/ENO1",0.321775918075361
"R-HSA-162588","R-HSA-162588","Budding and maturation of HIV virion",20,0.483930324415842,1.44540024354838,0.0497206015027716,0.352270461647137,0.352270461647137,3450,"tags=65%, list=32%, signal=44%","CHMP2B/PDCD6IP/UBC/PPIA/VPS37A/CHMP5/RPS27A/VTA1/TSG101/VPS37D/VPS37C/CHMP4C/VPS28",0.321775918075361
