"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"DNAAF5",0.430899026343969,4.28251441179407,2.99763272824271,0.00323630369906036,0.4056147486918,-1.84754720565108
"C1orf43",0.464998687885843,7.67248458105796,2.99494383961158,0.00326316040980133,0.4056147486918,-1.81967232024824
"TREML2",-1.47850539959929,0.416423293597687,-2.99279397364117,0.00328478086308917,0.4056147486918,-1.96628895548935
"LSAMP",-1.12879706713408,2.85254793108462,-2.99263186310217,0.00328641648976864,0.4056147486918,-1.85583866538399
"THAP4",0.434091537017544,5.49768854149617,2.98617591862836,0.00335216721921565,0.4056147486918,-1.84149900309101
"CCL21",-1.28782064960411,6.12849766980732,-2.98474412870558,0.00336691245286982,0.4056147486918,-1.84562054696465
"SFSWAP",-0.276233935077346,5.78518678966759,-2.98286894941474,0.0033863142289311,0.4056147486918,-1.85059184041004
"ZNF141",-0.388758517180402,5.04366253548659,-2.98274728653276,0.00338757657753506,0.4056147486918,-1.86639758641211
"CRISPLD1",-0.882112640854306,-0.000363412629388504,-2.98244448609693,0.00339072025242666,0.4056147486918,-2.11959443541017
"EXTL1",-1.08245974360242,-1.20989211980741,-2.97514387825589,0.00346733283862956,0.4056147486918,-2.24006826353644
"MAPK15",-1.20371440494751,-1.74338376299195,-2.97473942523863,0.00347162338283234,0.4056147486918,-2.23050964861043
"SEC13",0.331459037635062,7.49796858082337,2.97325216684531,0.00348744265721735,0.4056147486918,-1.87468806881907
"S100A10",0.590264336097101,8.09869885141809,2.97244400044264,0.00349606653251382,0.4056147486918,-1.87502751964357
"CLNK",-0.685953380548627,1.90916276418693,-2.96988104791528,0.00352354552290748,0.4056147486918,-1.92556869868434
"TMEM181",0.3617768242162,7.19962608089448,2.96681114115003,0.00355672135681515,0.4056147486918,-1.89109952474537
"RBM47",0.442422986019715,8.4166862903461,2.95850319695559,0.00364794967251988,0.4056147486918,-1.90943885464631
"PCDHAC2",-1.37389990094447,-1.18703077941846,-2.95536048811328,0.00368301655153914,0.4056147486918,-2.20018282264248
"GPR135",-0.628781881330321,1.42978985208507,-2.9539649198422,0.00369868767026478,0.4056147486918,-2.01233343513972
"FRMPD1",-0.971154954335378,-1.02486297854117,-2.94940594268487,0.0037503094771755,0.4056147486918,-2.13400972601625
"FAM162A",0.321761338302907,6.62352115093301,2.94483419681961,0.00380273999275418,0.4056147486918,-1.94702147939481
"PSMD9",0.36365392239699,6.00516237414484,2.94194554086999,0.00383621449838489,0.4056147486918,-1.95369820676546
"RBM6",-0.389722994081265,6.82062643141795,-2.94143393937397,0.00384217121048064,0.4056147486918,-1.95391311435896
"NHEJ1",0.3724870333972,5.51451646570258,2.93958745915304,0.00386374100948391,0.4056147486918,-1.95605850889527
"ITIH3",-1.56032830534284,0.530454511834548,-2.93509356215568,0.00391670235456053,0.4056147486918,-2.10093667710037
"SPTY2D1",0.286167890828789,5.5438168994783,2.93487060701641,0.00391934719538672,0.4056147486918,-1.96722837378949
"IKZF2",-0.456436165712785,4.3525097389958,-2.9275511280314,0.0040070916831696,0.410745978913851,-1.98595379876488
"SRSF4",-0.239388051978293,7.10835232767162,-2.92016794197098,0.00409742335660966,0.416043090445187,-2.006861660443
"YKT6",0.584377890638933,6.27846700667182,2.91073965307817,0.00421549240502273,0.42403125939495,-2.02667387027978
"MCM7",-0.407120856883782,6.68935114763255,-2.89774634836935,0.00438332126668456,0.430511405370225,-2.06176981024846
"CAPN1",0.421846589854591,7.39731541353565,2.8964422444724,0.00440049961489254,0.430511405370225,-2.06375595092792
"CLU",-0.889654641839353,7.04484723563829,-2.89360462117452,0.00443809165522119,0.430511405370225,-2.0732528094692
"SDC1",0.515892212316956,7.36879766398371,2.88918407581186,0.00449724036063574,0.430511405370225,-2.08235279315069
"CTPS1",-0.44768212458923,4.74837229443482,-2.88853063228653,0.00450604470598506,0.430511405370225,-2.09894015429102
"MMP16",-0.958814456805539,0.449410995554834,-2.88750395834708,0.00451990976557051,0.430511405370225,-2.32099538652392
"IL22RA2",-1.44029299267342,1.14027143274478,-2.88029211065519,0.00461841113502853,0.430587447874199,-2.21075065098218
"CFAP45",-0.931927404843254,-1.53550950677623,-2.87733378590707,0.00465938219303226,0.430587447874199,-2.47085227816629
"OVOL1",0.530170980886523,5.52418787949872,2.87580860713463,0.00468063476048394,0.430587447874199,-2.11196949955635
"PCDH9",-0.859648215589757,2.32946441032098,-2.87030606427195,0.00475804944064529,0.430587447874199,-2.17013781697356
"DPP10",0.980905854751316,1.14350506130953,2.86958997988571,0.00476820965945048,0.430587447874199,-2.18964277297306
"SULT1C2",-0.851596659746684,1.76217624177369,-2.86802886463677,0.00479042851430184,0.430587447874199,-2.19078004587818
"ZNF514",-0.398447188578607,4.50640714874131,-2.8673057810983,0.00480075199711083,0.430587447874199,-2.14505053984681
"UEVLD",0.323404280612913,5.50717405314139,2.86381288546598,0.00485090738559654,0.431490216455997,-2.14093968485957
"MUSK",-0.817938189545871,2.71403966652226,-2.8526789575847,0.00501399823677196,0.436760796275905,-2.19671894077384
"NOM1",-0.303713168968844,4.62049357106939,-2.84905626828174,0.00506813496121557,0.436760796275905,-2.17302067345266
"TDRP",-0.633491800164352,2.30477782800001,-2.8489146489233,0.0050702621020773,0.436760796275905,-2.20608882490062
"NCAM1",-0.496533090057375,4.00239881527464,-2.84876706174319,0.00507247974862846,0.436760796275905,-2.17373231774498
"SRSF10",-0.209267227326787,6.95123600567504,-2.84178555121332,0.00517840234295126,0.4423424160094,-2.2010618819142
"FLRT2",-0.754921440031696,3.37447863297165,-2.83402142908274,0.00529856906062837,0.4447853616193,-2.2138561403005
"SLC9A3",0.695836812375734,7.47590253894274,2.83321664887189,0.0053111693473624,0.4447853616193,-2.21593372785524
"CEP295",-0.341975667147367,5.01957199609495,-2.83195501531372,0.0053309775758515,0.4447853616193,-2.21346969679733
"PF4",0.917225004145504,-1.25215028504171,2.82673465868152,0.00541365861451922,0.448209289754388,-2.47712805368761
"RCSD1",-0.536159947061996,5.70972865323328,-2.816694911464,0.00557596857416112,0.451478415557514,-2.25273074798033
"VGF",1.04093465586233,-1.43777375650546,2.81610941876793,0.0055855697014911,0.451478415557514,-2.48792926884266
"CAST",0.273941946941855,9.11147091973288,2.81303885174163,0.00563616939350957,0.451478415557514,-2.25731747419847
"DCLK1",-0.71062622866893,2.31774817948617,-2.81291635882524,0.00563819659193792,0.451478415557514,-2.28654739413278
"PEG10",-0.875154666714011,1.92446644014965,-2.81142803562095,0.00566288080463294,0.451478415557514,-2.29951688196889
"ZNF703",0.607582789313194,5.55960933841953,2.80672789592253,0.00574148227359704,0.451696794375177,-2.28059098540246
"RNF150",-0.871243300872047,2.88146857350276,-2.80624849599772,0.00574955503385666,0.451696794375177,-2.28138703435392
"ZNF641",-0.306665077382891,4.52181534213305,-2.80056892890094,0.00584598566212641,0.455944519430917,-2.30214873087558
"AK7",0.576955088515265,1.22302438738498,2.79303426326458,0.00597618794509759,0.459377560936143,-2.35806625074329
"HTR3A",-1.51401019615844,0.0801390983039616,-2.78989451104816,0.00603121981583732,0.459377560936143,-2.45694597002765
"FCRL1",-1.53160064825766,2.18885238092977,-2.78632889236261,0.00609427550979886,0.459377560936143,-2.38317911732643
"GAP43",-1.10006797777973,-0.96926198812899,-2.7838892876729,0.00613776363392189,0.459377560936143,-2.60130897190411
"RHOF",0.755823312499029,5.64703532232914,2.78387204664379,0.00613807197356937,0.459377560936143,-2.32463723183086
"MLH3",-0.257501648492846,5.27361593093395,-2.78168555212018,0.00617728988278849,0.459377560936143,-2.33063268280299
"CEP135",-0.374145344210983,4.40334533565347,-2.78009946264333,0.00620588128068413,0.459377560936143,-2.33399264664901
"PKIA",-0.779554934426255,2.31229406325624,-2.77868653744282,0.0062314525593865,0.459377560936143,-2.36175887814139
"H2BC4",0.661460431794788,4.27450375260185,2.77210003239329,0.00635192610755605,0.465073338065481,-2.3617100626047
"LY6G5B",2.67532573842034,-0.258896856613648,2.76538397395699,0.00647694790124366,0.468349573120697,-2.43690155044087
"MS4A1",-1.70966394992311,5.59404635621962,-2.76417148701237,0.0064997558356966,0.468349573120697,-2.38206878919427
"PIGC",0.491290259263862,4.57839653579678,2.76240436383727,0.00653312777753472,0.468349573120697,-2.37618240089081
"SNAP91",-1.3823456842065,-0.480655882126748,-2.75587456223734,0.00665779835766769,0.468349573120697,-2.56245408110074
"PKHD1L1",-0.729089137979723,2.8317792906082,-2.75542746469451,0.00666641318855567,0.468349573120697,-2.4195678381344
"PPP2R5A",0.241728438826609,6.86873016195503,2.75490482776836,0.00667649638247177,0.468349573120697,-2.40713373981508
"RASL11A",0.679544688192449,3.00970271946567,2.75218408374119,0.00672921175233794,0.468349573120697,-2.52189313801816
"SNTG2",0.751713796280226,0.512537270904202,2.74869560105929,0.00679735567108216,0.468349573120697,-2.49855032013413
"TDO2",-1.03638306830618,2.00064140413499,-2.74642455341043,0.0068420545723174,0.468349573120697,-2.44178551278133
"GMPR2",0.275421914954783,6.21568440786476,2.74457028176838,0.00687874829797891,0.468349573120697,-2.42227646230901
"FDCSP",-2.37663602572993,4.1928356509904,-2.74148922828239,0.00694011394971589,0.468349573120697,-2.42230761102545
"DTHD1",-0.81680174643628,0.779048631482825,-2.73855223607827,0.00699907273985389,0.468349573120697,-2.50951359841371
"DHRS9",0.660830118522017,4.35159616753446,2.7361200103039,0.00704824244232432,0.468349573120697,-2.43310775636867
"GRIK2",0.726082975843134,0.571853828778714,2.73024302065777,0.00716834817760131,0.468349573120697,-2.50485597824701
"MRPL44",0.365338915913013,4.83302293880619,2.72993141800318,0.0071747678306837,0.468349573120697,-2.44991497508971
"TMEM254",0.456047222378414,4.35306255836259,2.72932198231945,0.0071873385376846,0.468349573120697,-2.46199532117886
"ST6GAL2",-1.21227925876462,-1.64503476710927,-2.72679061209626,0.00723976680492503,0.468349573120697,-2.82726844755147
"GTF2H2",2.31450465679142,0.998677593599534,2.72667610155056,0.00724214666384986,0.468349573120697,-2.48916413073182
"GLE1",0.34993020657617,6.19025956382302,2.72607590758745,0.00725463203717814,0.468349573120697,-2.47118198483246
