"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","DEG_Status","Regulation"
"MUC20",-1.36915138948761,0.894334680515411,-2.54296821957066,0.0121125482862684,0.508907963685321,-2.90849291308935,"Not_Significant","Downregulated_in_UC"
"MED12L",-1.07656738583685,-0.157949604967259,-2.54178377220205,0.0121517557063205,0.508907963685321,-2.98100756486714,"Not_Significant","Downregulated_in_UC"
"MORN3",-1.10397925513671,-1.59230522699619,-2.51647732390271,0.013017066036149,0.513558154508168,-3.04459348895459,"Not_Significant","Downregulated_in_UC"
"PCOLCE2",-1.23851784927925,-0.939604560055825,-2.51457821470596,0.0130841735916467,0.513558154508168,-3.0381478381885,"Not_Significant","Downregulated_in_UC"
"ANKS1B",-1.00426692663914,0.284241051136333,-2.51399047392397,0.013105004788219,0.513558154508168,-3.04373460346748,"Not_Significant","Downregulated_in_UC"
"IGF2BP3",-1.43297664129587,0.163768057203626,-2.4982185591017,0.0136751949830652,0.52379403417342,-3.03950560263016,"Not_Significant","Downregulated_in_UC"
"PCSK9",1.00295028198373,2.21869879691984,2.48574476585071,0.0141417331770962,0.524774540482087,-2.9740478387775,"Not_Significant","Upregulated_in_UC"
"ANKHD1-EIF4EBP3",-1.55770156587198,3.22514914230102,-2.4838349593052,0.0142144027406029,0.524774540482087,-3.07090518911305,"Not_Significant","Downregulated_in_UC"
"PRRX1",-1.18908038684882,1.93721727544365,-2.47347832128455,0.0146143117429916,0.524774540482087,-2.99028068069447,"Not_Significant","Downregulated_in_UC"
"FCRLA",-1.6486199617233,3.26550620437024,-2.47275978844105,0.014642425497325,0.524774540482087,-2.9909969292941,"Not_Significant","Downregulated_in_UC"
"MS4A12",1.26012554599558,-1.45660360204046,2.45795826616928,0.0152323823212262,0.524774540482087,-3.13915828614944,"Not_Significant","Upregulated_in_UC"
"FCAMR",-1.17876370051926,1.90569528327588,-2.45265520304622,0.0154488447357778,0.524774540482087,-3.04551599149132,"Not_Significant","Downregulated_in_UC"
"PAX5",-1.61011045887424,4.05294430133749,-2.44741765354119,0.0156653154110187,0.524774540482087,-3.05418988266212,"Not_Significant","Downregulated_in_UC"
"AICDA",-1.33113092554308,1.18196934938622,-2.44570552006019,0.015736661648837,0.524774540482087,-3.05265019744391,"Not_Significant","Downregulated_in_UC"
"GANAB",1.07551241042936,7.37043211765969,2.44208469887249,0.0158884972520906,0.524774540482087,-3.08565682235373,"Not_Significant","Upregulated_in_UC"
"MARVELD2",2.28371723078029,-0.951926232186407,2.42179330606255,0.0167637411770982,0.528848908984642,-3.16345630369728,"Not_Significant","Upregulated_in_UC"
"UBD",-3.53700213317069,0.0747320118087297,-2.42108712553128,0.0167949574789771,0.528848908984642,-3.19107685314727,"Not_Significant","Downregulated_in_UC"
"SCGB3A1",-1.09307524570678,-2.48090769400503,-2.40569672796966,0.0174882167999043,0.533217216479803,-3.33437749457129,"Not_Significant","Downregulated_in_UC"
"PDCD6-AHRR",-1.55781488447341,-2.37572388409758,-2.40164743129956,0.017674781595218,0.534685928998803,-3.31620858623111,"Not_Significant","Downregulated_in_UC"
"DPPA4",-1.13280968654226,-2.16608869363049,-2.39906034200705,0.0177948989017524,0.534685928998803,-3.30173845170881,"Not_Significant","Downregulated_in_UC"
"HLA-DOB",-2.44209952163911,0.195410925601188,-2.39572168283753,0.0179509797838014,0.534685928998803,-3.20494781737027,"Not_Significant","Downregulated_in_UC"
"LCNL1",-1.24407953850178,-2.05348869478577,-2.38710098999675,0.0183596143160061,0.536769777867341,-3.25305977811046,"Not_Significant","Downregulated_in_UC"
